,Unnamed: 0,first_street
0,13,Allschwilerstrasse 13A
1,39,Wanderstrasse 7
2,55,"Bruderholzallee 172, 172A"
3,149,St. Johanns-Vorstadt 7
4,201,Farnsburgerstrasse 34
5,245,St. Galler-Ring 198
6,284,Thiersteinerallee
7,326,Florastrasse 34
8,395,Theaterstrasse 20
9,400,"Burgfelderstrasse 205, 211"
10,425,Hegenheimerstrasse 71
11,488,Bruderholzstrasse
12,696,Leimgrubenweg 13
13,789,Dornacherstrasse 323
14,796,"Erasmusplatz 10, 11"
15,801,Kandererstrasse 12
16,1106,Hammerstrasse 61
17,1238,"Grienstrasse 98, 100"
18,1286,Schertlingasse 22
19,1293,Starenstrasse 30
20,1301,In den Ziegelhöfen 137
21,1350,Drahtzugstrasse 65
22,1556,Güterstrasse 136
23,1685,Bartenheimerstrasse 8
24,1766,Giornicostrasse 222
25,1782,Schönaustrasse 87
26,1870,St. Galler-Ring 144
27,1871,Burgfelderstrasse 1
28,1923,Sulzerstrasse 10
29,1936,Davidsbodenstrasse 29
30,1975,Lenzgasse 24
31,2014,Wanderstrasse 67
32,2153,Bannwartweg 30
33,2472,Im Wasenboden 17
34,2473,Wasensträsschen 8
35,2474,Breisacherstrasse 95
36,2475,Markircherstrasse 8
37,2477,In den Schorenmatten 24
38,2492,Tellstrasse 26
39,2497,Heinrichsgasse 14
40,2499,Drosselstrasse 33
41,2500,Münchensteinerstrasse 268
42,2502,"Bordeaux-Strasse 5, 7"
43,2504,Spitalstrasse
44,2505,Klingentalweglei
45,2507,St. Alban-Ring 226
46,2508,Gotthardstrasse 80
47,2509,Glaserbergstrasse 50
48,2510,Gundeldingerstrasse 470
49,2511,Wollbacherstrasse 25
50,2515,Scheltenstrasse 5
51,2516,Müllheimerstrasse 136
52,2517,"Peter Ochs-Strasse 35, 35 A"
53,2518,Claragraben 137
54,2520,Oetlingerstrasse 39
55,2521,Schweizergasse 28
56,2522,Leuengasse 37
57,2523,"Birmannsgasse 12, 12A, 12B"
58,2524,In den Ziegelhöfen 128
