,street,latitude,longitude,plz
0,Allschwilerstrasse 13A,47.5552931,7.5741486,4054
1,Wanderstrasse 7,47.5526983,7.570276000000001,4054
2,"Bruderholzallee 172, 172A",47.5325502,7.5954357,4059
3,St. Johanns-Vorstadt 7,47.562592,7.5849299,4056
4,Farnsburgerstrasse 34,47.5551059,7.613420400000001,4052
5,St. Galler-Ring 198,47.5515051,7.567629399999999,4054
6,Thiersteinerallee,47.541435,7.597721600000001,4053
7,Florastrasse 34,47.5643898,7.5890467,4057
8,Theaterstrasse 20,47.5527615,7.5895882,4051
9,"Burgfelderstrasse 205, 211",47.56693300000001,7.5633718,4055
10,Hegenheimerstrasse 71,47.5607294,7.570588099999999,4055
11,Bruderholzstrasse,47.5427031,7.594012299999999,4053
12,Leimgrubenweg 13,47.5366069,7.607325499999999,4053
13,Dornacherstrasse 323,47.539365,7.6022654,4053
14,"Erasmusplatz 10, 11",47.5658059,7.5894568,4057
15,Kandererstrasse 12,47.5654724,7.590067100000001,4057
16,Hammerstrasse 61,47.5623517,7.5967551,4058
17,"Grienstrasse 98, 100",47.5604629,7.565258000000001,4055
18,Schertlingasse 22,47.551806,7.5852457,4051
19,Starenstrasse 30,47.5389255,7.587986299999999,4059
20,In den Ziegelhöfen 137,47.545102,7.558833899999999,4054
21,Drahtzugstrasse 65,47.564122,7.597836699999999,4057
22,Güterstrasse 136,47.5447701,7.5890255,4053
23,Bartenheimerstrasse 8,47.5604504,7.5707203,4055
24,Giornicostrasse 222,47.5269115,7.5935297,4059
25,Schönaustrasse 87,47.5689514,7.604402599999999,4058
26,St. Galler-Ring 144,47.553934,7.567090599999999,4054
27,Burgfelderstrasse 1,47.5618862,7.5735541,4055
28,Sulzerstrasse 10,47.5545115,7.5720953,4054
29,Davidsbodenstrasse 29,47.5656778,7.5767395,4056
30,Lenzgasse 24,47.5684629,7.5714976,4056
31,Wanderstrasse 67,47.5521676,7.565322699999999,4054
32,Bannwartweg 30,47.5595077,7.601700300000001,4058
33,Im Wasenboden 17,47.5697948,7.570809799999999,4056
34,Wasensträsschen 8,47.5707072,7.5697453,4056
