,street,latitude,longitude,plz
6,Furkastrasse 60,47.5484626,7.5617772,4054
7,Käferholzstrasse 74,47.56614279999999,7.618280299999999,4058
8,Laupenring 167,47.5489074,7.566281499999999,4054
9,Sevogelstrasse 5,47.5520512,7.605120599999999,4052
10,Laufenstrasse 24,47.5419236,7.5991784,4053
11,Andreas Heusler-Strasse 32,47.5470814,7.6024484,4052
12,Im tiefen Boden 67,47.5288601,7.591302600000001,4059
13,Rennweg 86,47.5499485,7.6100426,4052
14,Spalentorweg 37,47.5557406,7.579411500000001,4051
15,"Unterer Batterieweg 39, 41",47.5399155,7.587497699999999,4053
16,Alemannengasse 21,47.5579853,7.5999973,4058
17,Karpfenweg 32,47.550754,7.618640300000001,4052
18,Paradieshofstrasse 73,47.5493102,7.559693500000001,4054
19,Bechburgerstrasse 1,47.553482,7.614844799999999,4052
20,"Erlkönigweg 1, 3, 5",47.5706242,7.6002561,4058
21,Tangentenweg,47.5706374,7.598535499999999,4058
22,An der hohlen Gasse 14,47.5721786,7.6102611,4058
23,Austrasse 43,47.5532867,7.5822873,4051
24,Giornicostrasse 214,47.5272077,7.593982100000001,4059
25,Steinbühlallee 147,47.5480803,7.557458999999999,4054
26,Riedbergstrasse 10,47.5342904,7.5905232,4059
27,Rütimeyerstrasse 66,47.548069,7.5759767,4054
28,Benkenstrasse 85,47.54753729999999,7.575380300000001,4054
29,Gotthardstrasse 82,47.5496129,7.5625901,4054
30,Rastatterstrasse 39,47.5792503,7.589968899999999,4057
32,Oetlingerstrasse 182,47.5678388,7.596080300000001,4057
33,Fürstensteinerstrasse 87,47.5370996,7.601514700000001,4053
34,Hochbergerstrasse 118,47.5814497,7.593475300000001,4057
35,Morgartenring 170,47.5504012,7.565514500000001,4054
36,Scheltenstrasse 30,47.5331098,7.5923791,4059
37,Margarethenstrasse 78,47.5451075,7.5820701,4053
38,Engelgasse 88,47.548555,7.602263600000001,4052
39,Kartausgasse 7,47.558904,7.5962025,4058
40,Jägerstrasse 7,47.5675974,7.601567899999999,4058
41,Claragraben 76,47.5622559,7.594640699999999,4058
42,Steinenbachgässlein 15,47.5532698,7.588610999999999,4051
